trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-15.017206159430033,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-114.59050756807544,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,6,-29.08456106456868,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-197.80853279144156,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-118.06094969070203,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-116.45756883402153,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,20,-46.68520806200134,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-114.34129297550382,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,18,0.4213792761122006,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-42.438853138438425,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,12,9.201471987786507,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-7.728137882784701,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,15,-5.978768629134826,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,-15.489005071983195,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-134.54664931417892,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,8.763004258230922,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,4,12.961307042675656,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,20.99175687260965,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,20.250783559666647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,28.337979445864267,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,1,34.79290740884747,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,27.97839530438175,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,8.773830745917019,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,1,9.297410832538105,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,28.102347298333754,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,13,28.54472398332814,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,8,14.36444250981543,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,33.97768169046322,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,13,24.415792394449973,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,4,42.71119775092243,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
