trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.81}",25,0,-129.76613570805526,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.7290000000000001}",20,0,-77.57156299529699,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.6561}",25,0,-67.43642335743662,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.5904900000000001}",25,0,24.02909727253869,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.531441}",30,0,-118.43834066346562,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.7, 'e': 0.4782969000000001}",25,0,-48.19592457611656,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.4304672100000001}",20,0,-14.787994055683813,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.3874204890000001}",25,0,-4.727978652477077,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.3486784401000001}",20,0,-11.665655990146766,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.31381059609000006}",30,9,0.8946468895679747,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.2824295364810001}",20,0,-67.54616226736299,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.2541865828329001}",20,7,-39.05232999306503,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.2287679245496101}",30,0,1.903926672408479,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.20589113209464907}",25,12,11.067445722976368,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.18530201888518416}",25,2,-61.48714596898672,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.7, 'e': 0.16677181699666577}",25,0,4.49782350042064,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
