trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.93914057728936,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.1323988548972,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.39947151047755,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-245.7257020949751,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.86199575983906,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.86258575371897,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.23510481441741,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.63173014994763,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.55473990623184,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.86137204423184,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.55325058770063,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.52234736641313,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.68009482631045,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,3,-108.16251593899577,"{0: 18, 1: 3, 2: 2, 3: 3, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.58525538679967,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.92152703330754,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.70052716000372,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-218.11982575303986,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,6,-101.72542471277306,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.69312920824527,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.49444217400644,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.51959552711308,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-224.57841060627825,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-89.25829506853721,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.22858320071987,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,14,-13.822513924229945,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.56952820596591,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.94182789528384,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-42.50849360727534,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.55045172326113,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
